2026-07-13 02:21:01 Engine: started at phase 'mine'
2026-07-17 10:12:57 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:58 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:00 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:02 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:03 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:05 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:07 MinePhase: Lost track of vein or depleted. Finding new vein.
2026-07-17 10:13:07 MinePhase: Found new vein at [1209, 713]
2026-07-17 10:13:07 MinePhase: Initial click to walk to vein at [1209, 713] (vein at [1209, 713])
2026-07-17 10:13:09 MinePhase: Clicked stable vein at [1253, 713] (vein at [1253, 713])
2026-07-17 10:13:10 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:12 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:14 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:15 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:17 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:19 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:20 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:22 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:24 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:26 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:27 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:29 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:31 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:32 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:34 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:36 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:38 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:13:39 MinePhase: Lost track of vein or depleted. Finding new vein.
2026-07-17 10:13:42 MinePhase: Found new vein at [1135, 713]
2026-07-17 10:13:42 MinePhase: Initial click to walk to vein at [1135, 713] (vein at [1135, 713])
2026-07-17 10:13:44 MinePhase: Clicked stable vein at [1231, 714] (vein at [1231, 714])
2026-07-17 10:13:46 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:13:48 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:13:49 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:13:51 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:13:53 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:13:54 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:13:56 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:13:58 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:14:00 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:14:01 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:14:03 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:14:05 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:14:05 MinePhase: Inventory full, transitioning to clearRed
2026-07-17 10:14:06 ClearRedPhase: Found new red rockfall at [1249, 347]
2026-07-17 10:14:06 ClearRedPhase: Initial click on red rockfall at [1249, 347]
2026-07-17 10:14:12 ClearRedPhase: Rockfall cleared or lost. Scanning for another.
2026-07-17 10:14:12 ClearRedPhase: Found new red rockfall at [1531, 639]
2026-07-17 10:14:12 ClearRedPhase: Initial click on red rockfall at [1529, 639]
2026-07-17 10:14:15 ClearRedPhase: Rockfall cleared or lost. Scanning for another.
2026-07-17 10:14:15 ClearRedPhase: No red rockfalls found. Moving to hopper.
2026-07-17 10:14:16 ClearYellowPhase: Clicked hopper at [894, 440]
2026-07-17 10:14:23 ClearYellowPhase: Ore deposited. Moving to sack.
2026-07-17 10:14:24 WithdrawSackPhase: Clicked sack at [1825, 724]
2026-07-17 10:14:30 WithdrawSackPhase: Items received from sack. Moving to bank.
2026-07-17 10:14:30 DepositBankPhase: Clicked deposit container at [1071, 351]
2026-07-17 10:14:31 DepositBankPhase: Waiting for deposit box to open...
2026-07-17 10:14:34 DepositBankPhase: Deposited all - banking complete, returning to mine
2026-07-17 10:14:35 ReturnMine1Phase: Clicked waypoint 1 at [699, 1279]
2026-07-17 10:14:39 ReturnMine1Phase: Arrived at waypoint 1!
2026-07-17 10:14:40 ReturnMine2Phase: Clicked waypoint 2 at [1251, 1354]
2026-07-17 10:14:42 ReturnMine2Phase: Saw waypoint 2 marker. Moving to final approach.
2026-07-17 10:14:42 ReturnMine2Phase: Clicked final approach spot at [1491, 1023]
2026-07-17 10:14:45 ReturnMine2Phase: Wait complete. Handing off to mine phase.
2026-07-17 10:14:45 MinePhase: Found new vein at [1381, 773]
2026-07-17 10:14:45 MinePhase: Initial click to walk to vein at [1369, 767] (vein at [1369, 767])
2026-07-17 10:14:47 MinePhase: Clicked stable vein at [1237, 719] (vein at [1237, 719])
2026-07-17 10:14:49 MinePhase: Clicked stable vein at [1235, 713] (vein at [1235, 713])
2026-07-17 10:14:51 MinePhase: Lost track of vein or depleted. Finding new vein.
2026-07-17 10:14:53 MinePhase: Found new vein at [1307, 713]
2026-07-17 10:14:53 MinePhase: Initial click to walk to vein at [1307, 713] (vein at [1307, 713])
2026-07-17 10:14:55 MinePhase: Clicked stable vein at [1265, 713] (vein at [1265, 713])
2026-07-17 10:14:56 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:14:58 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:00 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:01 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:03 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:05 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:07 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:08 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:10 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:12 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:13 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:15 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
